0	KC861766	1286291	Crataegus aemula	Crataegus aemula	1286291	species	Crataegus aemula
13	KC861769	1286292	Crataegus aquacervensis	Crataegus	23159	genus	Crataegus aquacervensis;Crataegus macracantha;Crataegus rivuloadamensis
13	KC861828	510728	Crataegus macracantha	Crataegus	23159	genus	Crataegus aquacervensis;Crataegus macracantha;Crataegus rivuloadamensis
13	KC861876	1297754	Crataegus rivuloadamensis	Crataegus	23159	genus	Crataegus aquacervensis;Crataegus macracantha;Crataegus rivuloadamensis
14	KC861811	510726	Crataegus harbisonii	Crataegus harbisonii	510726	species	Crataegus harbisonii
14	KC861812	510726	Crataegus harbisonii	Crataegus harbisonii	510726	species	Crataegus harbisonii
14	KC861813	510726	Crataegus harbisonii	Crataegus harbisonii	510726	species	Crataegus harbisonii
14	KC861815	510726	Crataegus harbisonii	Crataegus harbisonii	510726	species	Crataegus harbisonii
15	KC861844	1286304	Crataegus monogyna x Crataegus punctata	Crataegus monogyna x Crataegus punctata	1286304	species	Crataegus monogyna x Crataegus punctata
16	KC861881	416298	Crataegus spathulata	Crataegus spathulata	416298	species	Crataegus spathulata
17	KC861902	416300	Crataegus triflora	Crataegus triflora	416300	species	Crataegus triflora
18	KP050142	1638378	Crataegus mollis x Crataegus viridis	Crataegus mollis x Crataegus viridis	1638378	species	Crataegus mollis x Crataegus viridis
19	OL537373	640491	Elytraria caroliniensis	Elytraria caroliniensis	640491	species	Elytraria caroliniensis
20	KC861767	510711	Crataegus almaatensis	Crataegus	23159	genus	Crataegus almaatensis;Crataegus pentagyna
20	KC861851	416291	Crataegus pentagyna	Crataegus	23159	genus	Crataegus almaatensis;Crataegus pentagyna
20	KC861853	416291	Crataegus pentagyna	Crataegus	23159	genus	Crataegus almaatensis;Crataegus pentagyna
21	JN848164	76025	Pleuropterus multiflorus	Pleuropterus multiflorus	76025	species	Pleuropterus multiflorus
21	JN848165	76025	Pleuropterus multiflorus	Pleuropterus multiflorus	76025	species	Pleuropterus multiflorus
21	JN848166	76025	Pleuropterus multiflorus	Pleuropterus multiflorus	76025	species	Pleuropterus multiflorus
21	JN848167	76025	Pleuropterus multiflorus	Pleuropterus multiflorus	76025	species	Pleuropterus multiflorus
22	JN848173	76025	Pleuropterus multiflorus	Pleuropterus multiflorus	76025	species	Pleuropterus multiflorus
22	JN848176	76025	Pleuropterus multiflorus	Pleuropterus multiflorus	76025	species	Pleuropterus multiflorus
22	JN848227	76025	Pleuropterus multiflorus	Pleuropterus multiflorus	76025	species	Pleuropterus multiflorus
22	JN848230	76025	Pleuropterus multiflorus	Pleuropterus multiflorus	76025	species	Pleuropterus multiflorus
22	JN848231	76025	Pleuropterus multiflorus	Pleuropterus multiflorus	76025	species	Pleuropterus multiflorus
22	JN848259	76025	Pleuropterus multiflorus	Pleuropterus multiflorus	76025	species	Pleuropterus multiflorus
22	JN848260	76025	Pleuropterus multiflorus	Pleuropterus multiflorus	76025	species	Pleuropterus multiflorus
22	JN848261	76025	Pleuropterus multiflorus	Pleuropterus multiflorus	76025	species	Pleuropterus multiflorus
22	JN848262	76025	Pleuropterus multiflorus	Pleuropterus multiflorus	76025	species	Pleuropterus multiflorus
23	MG234785	105046	Parogonum ciliinode	Polygoneae	1110385	tribe	Parogonum ciliinode;Fallopia scandens
23	MG237406	76037	Fallopia scandens	Polygoneae	1110385	tribe	Parogonum ciliinode;Fallopia scandens
24	KC861773	416280	Crataegus brachyacantha	Crataegus brachyacantha	416280	species	Crataegus brachyacantha
24	KC861774	416280	Crataegus brachyacantha	Crataegus brachyacantha	416280	species	Crataegus brachyacantha
24	KC861775	416280	Crataegus brachyacantha	Crataegus brachyacantha	416280	species	Crataegus brachyacantha
24	KC861776	416280	Crataegus brachyacantha	Crataegus brachyacantha	416280	species	Crataegus brachyacantha
24	KC861777	416280	Crataegus brachyacantha	Crataegus brachyacantha	416280	species	Crataegus brachyacantha
24	KC861778	416280	Crataegus brachyacantha	Crataegus brachyacantha	416280	species	Crataegus brachyacantha
